Item,Qty,Unnamed: 2,Unnamed: 3,Unnamed: 4,Dealer,Invoice No.,Invoice date,Unnamed: 8
Carry bag,1,,,,LuluHypermarket,218988,20-01-25,
Carry bag,1,,,,LuluHypermarket,244171,2025-03-03 00:00:00,
Carry bag,1,,,,LuluHypermarket,508464,20/04/25,
tube connection,2,,,,sabari,BB-181,16-11-24,
NAC,,400 G,MIS,,sabari,BB-181,16-11-24,
,,,,,,,,
275 L-PBR Light stand manufacture ,,,,,,,,
304 Rod  ( Used for light stand manufacture ) ,23.400 Kg,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",1492,24/03/25,
palte ,0.920 kg,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",1492,24/03/25,
W.Rod,1 Piece,,,,"Priya stores, T.C.38/2097, Melamcode Amman Street, Angalamman Nagar, Chalai, TVM - 36, Ph: 0471-2472935",1492,24/03/25,
SS GRUB SCREW,40,,,,"Seetha Stores, Marakada Road, Chalai, TVM - 695 036, PH:  0471-2473934, 9495730315, Email: sales@seethastores.in",BB2999,24-03-25,
ALLEN KEY,1,,,,"Seetha Stores, Marakada Road, Chalai, TVM - 695 036, PH:  0471-2473934, 9495730315, Email: sales@seethastores.in",BB2999,24-03-25,
6mm SS NUT,25,,,,"Seetha Stores, Marakada Road, Chalai, TVM - 695 036, PH:  0471-2473934, 9495730315, Email: sales@seethastores.in",BB2999,24-03-25,
,,,,,,,,
"HOSE 3/4"" SUPER PLAIN GREEN WATER",1 MTR,,,,"Kerala electricals,Kazhakuttam,9495378975",K 2992,19/03/25,
,,,,,,,,
Water tank stands,1,190x100x200,,,"Aira structural designers and fabrication works, Thettichira, Kurakkada P.O, 8547069608,6238950442",63,2025-07-04 00:00:00,
,,,,,,,,
SIL TANK,1,500L,Supreme 3 layer white,,"Sree Padmam Agencies, Pallimukku, Peyad, Thiruvanathapuram, 04712361109, 2367109",A176,2025-07-04 00:00:00,
,,,,,,,,
Courier charge- Tablets,,,"Dr BS Patro,BARC,Mumbai",,Professional courier,TVM6310472,21/4/25,
,,,,,,,,
Brass bush,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-3502127, 9947461877",B2B002229/2526,16-04-25,
Brass coupler,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-3502127, 9947461877",B2B002229/2526,16-04-25,
screw driver,1,,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-3502127, 9947461877",B2B002229/2526,16-04-25,
