Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased/recieved/opened on ,Finished on ,Comments,Invoice no.,Invoice date
,Test tube brush,1,,,Sabari scientific supplies,Purchased on Jan 14 2023,,,BB-193,2023-01-14 00:00:00
,Bottle brush,1,,,"Margin free market, Shifa complex, Mangalapuram",2023-04-28 00:00:00,,,3185,2023-04-28 00:00:00
,"Flask brush , full circle circle",1,,,Sabari scientific supplies ,2023-05-04 00:00:00,,,BB-14,2023-05-04 00:00:00
,"Flask brush , half circle",1,,,Sabari scientific supplies ,2023-05-04 00:00:00,,,BB-14,2023-05-04 00:00:00
,Bottle brush Nylon15'' heavy,1,,,Sabari scientific supplies ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,Bottle brush Nylon12'',1,,,Sabari scientific supplies ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,Flask brush half circle,1,,,Sabari scientific supplies ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,Flask brush,1,,,Sabari scientific supplies ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,Bottle brush Nylon15'' heavy,2,,,Sabari scientific supplies ,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,Flask brush,2,,,Sabari scientific supplies,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,Test tube brush micro gla,1,,,Sabari scientific supplies,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,Burette brush micro gla,1,,,Sabari scientific supplies,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,Burette brush,2,,,Sabari scientific supplies,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,Bottle brush Nylon12'',1,,,Sabari scientific supplies,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,Flask brush,3,,,Sabari scientific supplies,2023-11-15 00:00:00,,,BC-846,2023-11-15 00:00:00
,Burette brush,3,,,Sabari scientific supplies,2023-11-15 00:00:00,,,BC-846,2023-11-15 00:00:00
,Burette brush micro gla,4,,,Sabari scientific supplies,2023-11-15 00:00:00,,,BC-846,2023-11-15 00:00:00
,Test tube brush,3,,,Sabari scientific supplies,2023-11-15 00:00:00,,,BC-846,2023-11-15 00:00:00
,Flask brush half circle,3,,,Sabari scientific supplies,2023-11-15 00:00:00,,,BC-846,2023-11-15 00:00:00
,Bottle brush Nylon12'',2,,,ILE,2023-11-28 00:00:00,,,TVM/23-24/1467,2023-11-28 00:00:00
,"Brush, 25'",2,,Q1 beads,"Q1 beads, #6, Giddamma Layout, Akash Nagar, B Narayanapura, Bangalore-560016",2024-01-05 00:00:00,,,FADG5F2400032984,2024-01-05 00:00:00
,Bottle brush,1,,Angel,S.Ibrahin&Co.,2023-11-25 00:00:00,,,GC131499,2023-11-25 00:00:00
,"Brush, for washbasin",1,,,,,,Bill is not available,,
,"Brush, for washbasin",1,,,,,,Bill is not available,,
,"Brush, for washbasin",1,,,,,,Bill is not available,,
,Bottle brush,1,,The better home,"TCI supply chain solutions, SF, No.496/A2, 496/A3, 497/2, 497/3, 497/4, Karumathampatti to annur road, MOpperipalayam, Coimbatore, Tamil Nadu",2024-06-05 00:00:00,,,XHEV-3051,2024-05-31 00:00:00
,Bottle brush,1,,Q1 Beads ,"Q1 Beads 
*
 18, 1st cross ,Giddamma layout,Akash nagar, A
Narayanpura
BENGALURU, KARNATAKA, 560016",2024-06-05 00:00:00,,,IN-4592,31.05.2024
,Flask brush full circle GLA  ,1,,,Sabari scientific supplies,2024-07-06 00:00:00,,,BB-41,2024-07-06 00:00:00
,"Flask brush , half circle GLA",1,,,Sabari scientific supplies,2024-07-06 00:00:00,,,BB-41,2024-07-06 00:00:00
,Burette brush Micro gla,12,,,Sabari scientific supplies,2024-07-06 00:00:00,,,BB-41,2024-07-06 00:00:00
,Burette brush,1,,,Sabari scientific supplies,2024-07-06 00:00:00,,,BB-41,2024-07-06 00:00:00
,Flask brush Half circle GLA,3,,,Sabari scientific supplies,29/08/24,,,BB-124,29/08/24
,"Bottle brush Nylon 15"" Heavy",3,,,Sabari scientific supplies,29/08/24,,,BB-124,29/08/24
,Burette brush,3,,,Sabari scientific supplies,29/08/24,,,BB-124,29/08/24
,Burette brush micro gla,4,,,Sabari scientific supplies,29/08/24,,,BB-124,29/08/24
,Burette brush,5,,,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,Brush,2,,,ILE,16-11-24,,,TVM/24-25/1569,
,Bottle brush Nylon12'',1,,,ILE,16-11-24,,,TVM/24-25/1569,
,Flask brush,3,,,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,Bottle brush Nylon12'',2,,,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,"Bottle brush Nylon 15"" Heavy",1,,,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,Flask brush full circle GLA  ,2,,,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,"Test tube Brush Nylon 8""",5,,,ILE,17-01-25,,,TVM/24-25/2066,17-01-25
,"Test tube Brush Nylon 6""",2,,,ILE,17-01-25,,,TVM/24-25/2066,17-01-25
,Butter paper,,,,,,,Stock: 26,,
,Butter paper,1,,,"Lab supplies trivandrum, 25/1643-3,Vasantham chambers,Nr. Sreekumar theatre, SS Kovil road 32- Kerala, Thampanoor, Trivandrum-695001 Phone: 0471-4858444, 6282334304, 9847245887 Website: labsupplies.in; labsuppliestrivandrum.com E mail: labsuppliesemail@gmail",Jan 12 2023,Finished,,R0001449,2023-01-12 00:00:00
,Butter paper sheet ,2,,,ILE,2023-03-22 00:00:00,Finished,,ILE/T/1569/22-23,2023-03-22 00:00:00
,"Butter paper,",5,,,Sabari scientific supplies,2023-05-04 00:00:00,Finished,,BB-14,2023-05-04 00:00:00
,Butter paper,2 Set,26 sheet,,ILE,2024-01-22 00:00:00,,Not used due to difficulty in weighing,TVM/23-24/1857,2024-01-22 00:00:00
,Butter paper (sabari),10,,,Sabari scientific supplies,2024-07-06 00:00:00,,,BB-41,2024-07-06 00:00:00
,Butter paper,15,,,Sabari scientific supplies,16-11-24,,,BB-181,16-11-24
,Bunsen burner,1,,,Lab supplies trivandrum,"12-01-2023, 30-01-2023",,damaged one is replaced with new ,"R0001449, W0000692","12-01-2023, 30-01-2023"
,Cat 6 Patch code,1,,,"Excel infratec,27/964, 1st floor, techmate building, Athani lane, Vanchiyoor, TVM-695 035, pH:9645918660",2023-03-08 00:00:00,,,B2B-374/22-23,2023-03-08 00:00:00
,Catridges for filteration,,,,,,,,,
,"10""Long carbon catridge",1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",22-June 2023 (catridges were fixed on 08/07/2023,Discarded,,GSAT091/23-24,2023-06-22 00:00:00
,"10""Long 1 Micron pleated catridge",1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",22-June 2023 (catridges were fixed on 08/07/2024,Discarded,,GSAT091/23-24,2023-06-22 00:00:00
,"10""Long 5 Micron pleated catridge",1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",22-June 2023 (catridges were fixed on 08/07/2023),Discarded,,GSAT091/23-24,2023-06-22 00:00:00
,"10"" Long 1 Micron pleated cartridge",1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",14-02-25,,Replaced on 06/02/25,GSAT288/24-25,14-01-25
,"10""Long 5 Micron pleated catridge",1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",14-02-25,,Replaced on 06/02/25,GSAT288/24-25,14-01-25
,"10""Long carbon catridge",1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",14-02-25,,Replaced on 06/02/25,GSAT288/24-25,14-01-25
,Consumable Kit for LabQ Smat Type II,1,1,,"AR Bhat Technologies PVT. Ltd. 8/2 115, Gujarathi Road, Mattancherry, Cochin- 682 002 Ph: 0484-2228202/2227676 Email: sales@arbhat.com",Received on 23/12/23. Lab Q super catridge 6 no. (3 were replaced) LabQ Clear C1 4nos (1 was repplaced Lab Qsuper sorb 4 nos (1 was replaced) Lab Q sorb C2  2 nos (1 was replaced) catirdges were replaced on 23/12/23,,,GSAT308/23-24,2023-12-23 00:00:00
,Counting chamber,,,,,,,,,
,Counting chamber,1,,Rohem India,"Sabari scientific supplies Scientific Supplies           Sreepankajam Building, Police Quarters Road, Nemom, Thiruvananthapuram - 695020                                                          Ph-9447863355, 9746438384                             Email: Sabari scientific supplieslabsupplies@gmail.com",2023-01-14 00:00:00,,broken,BB-193,2023-01-14 00:00:00
,Counting chamber,1,,Rohem India,ILE,10-05-2024 (opened),,,TVM/24-25/0329,2024-05-27 00:00:00
,Counting chamber,1,1,Rohem India,Lab supplies trivandrum,2024-01-08 00:00:00,,,W000241,2024-01-08 00:00:00
,Cover slip,,,,,,,"Stock: 18mm - 2 (1 is opened), 22mm-2",,
,"Cover slip, 18mm X 188mm",2,,Blue star,Lab supplies trivandrum,2023-01-12 00:00:00,Finished,,R0001449,2023-01-12 00:00:00
,Cover slip 18x18mm,2,,Bluestar,ILE,2023-05-02 00:00:00,Finished ,,TVM/23-24/0128,2023-05-02 00:00:00
,Cover slip22x22mm,2,,Bluestar,ILE,2023-05-02 00:00:00,Finished ,,TVM/23-24/0128,2023-05-02 00:00:00
,Cover slip22x22mm,3,,Blue star,ILE,22-10-24,Finished ,,TVM/24-25/1381,22/10/24
,"Cover slip 18 x18 mm ,",2,,Blue star,ILE,17-01-25,,,TVM/24-25/2066,17/01/25
,Coverslip Haemocytometer ,1,,Bluestar,Lab supplies trivandrum,27-01-25,,,W000631,27-01-25
,Crucible tongs ss,1,,,United scientific and educational suppliers Pvt.Ltd.,2023-10-07 00:00:00,,,384,2023-10-07 00:00:00
,Cylinder and Regulator,,,,,,,"Stock: CO2 cylinder - 2, CO2 regulator-2, O2 regulator-1",,
,CO2 cylinder ,1,,,"Meera traders T.C.84/129(3), Vallakkadavu P.O., Tvm-695 008 Ph: 9847236728, 9400096814 Email: meeraatraders@yahoo.com",Jan 14 2023,,,M2223B/687,2023-01-14 00:00:00
,CO2 regulator,1,,,"Meera traders T.C.84/129(3), Vallakkadavu P.O., Tvm-695 008 Ph: 9847236728, 9400096814 Email: meeraatraders@yahoo.com",Jan 14 2023,,,M2223B/687,2023-01-14 00:00:00
,CO2 cylinder ,1,,,"Meera traders T.C.84/129(3), Vallakkadavu P.O., Tvm-695 008 Ph: 9847236728, 9400096814 Email: meeraatraders@yahoo.com",2023-05-15 00:00:00,,,M2324B/108,2023-05-15 00:00:00
,CO2  cylinder,1,31 kg,,"Meera traders T.C.84/129(3), Vallakkadavu P.O., Tvm-695 008 Ph: 9847236728, 9400096814 Email: meeraatraders@yahoo.com",2025-10-02 00:00:00,,,M2425B/921,2025-10-03 00:00:00
,CO2 REGULATOR ,1,,ESAB CO2)ICO 32B,"Gupta enterprises,Bengaluru,Karnataka (Amazon.in)",18-03-25,,,VTCW-249,18-03-25
,Cylinder key,1,,,"Meera traders T.C.84/129(3), Vallakkadavu P.O., Tvm-695 008 Ph: 9847236728, 9400096814 Email: meeraatraders@yahoo.com",2023-05-15 00:00:00,,,M2324B/108,2023-05-15 00:00:00
,Oxygen cylinder regulator,1,,,"V care medicals, Pooma tower, Paravattani P.O., Ollukkara, Thrissur, Ph: 9288004700, 04872374600",2023-02-24 00:00:00,,Returned ,147924,2023-02-24 00:00:00
,Oxygen cylinder regulator,1,,,"Sun Surgical & Pharmaceuticals, TC 16/404, 16/405, TC 16/403, TC 16/403(2), Sun tower, Ulloor, Medical college road, Medical college post, TVM-695011",2023-03-14 00:00:00,,Damaged,11390/2022-23,2023-03-14 00:00:00
,Oxygen cylinder regulator,1,,Shethnacare,"Otica meditronix co., Otica surgical mall, BFF, 09,10,11,12,BO2, Pratham Plaza, Opp. Taj hotel, near Jawed, Vadodara, Gujarat-390020",2023-12-20 00:00:00,,Ordered thorugh Amazon,QWO4-40735,2023-12-20 00:00:00
,CO2 regulator,1,,,"American Auto stores, Power house road, TVM - 36, pH: 0471-4015790, 9947461877",2023-05-19 00:00:00,,Replaced and cash refunded,B2B07818/2223,2023-05-19 00:00:00
,Oxygen floemeter/Medi safe,1,,Medisafe,Vanchinad medicals and surgicals,13/04/25,,Cannot be replaced,VMSB/25-26-76,13/04/25
,ESAB Single stage CO2 regulator,1,,,"SS Engineers, A1-922/19, Hindustan Fasion Compound, Makarpura, Vadodara, Gujarat",2023-06-09 00:00:00,,Ordered thorugh Amazon,IN-20,2023-06-09 00:00:00
,"Dust pan, SS",1,,,,,,Bill is not available,,
,Eye protection glass,,,,,,,,,
,Citadel FX Premium eye protection glass,1,,Citadel,"Globel - e/Method seven, 1010 Fair Ave, Suite K, Santa Cruz, 95060, USA",2023-08-09 00:00:00,,,16150855,2023-08-09 00:00:00
,Agent 939 FX  eye protection glass,,,,"Globel - e/Method seven, 1010 Fair Ave, Suite K, Santa Cruz, 95060, USA",2023-08-25 00:00:00,,,16444556,2023-08-25 00:00:00
,Filter housing,1,,Pentek,"Shop_worldwide, J-7, Ansa Industrial Estate, Sakivihar road, Sakikala, Andheri, Mumbai, Maharashtra-400072",2023-09-14 00:00:00,,Ordered thorugh Amazon,IN-8882,2023-09-14 00:00:00
,,,,,,,,,,
,First aid box,,,,,,,,,
,First aid box,1,,St.Jones First Aid kit,Lab supplies trivandrum,2023-01-18 00:00:00,,,W0000658,2023-01-18 00:00:00
,Band Aid,20,,,"Sun Surgical & Pharmaceuticals, TC 16/404, 16/405, TC 16/403, TC 16/403(2), Sun tower, Ulloor, Medical college road, Medical college post, TVM-695011",2023-03-08 00:00:00,,,95346,2023-03-08 00:00:00
,Flash drive,1,,Sandisk,"Logtech Infoway Pvt Ltd., TC-14/730, Musuem-Nandavanam road, Vikas Bhavan P.O, TVM- 695033, Ph: 2339200, 2339201",2023-07-27 00:00:00,,,B7398/23-24,2023-07-27 00:00:00
,Forceps,,,,,,,,,
,"Forceps 8""",2,,,ILE,2023-05-19 00:00:00,,one is missing,TVM/23-24/0258,2023-05-19 00:00:00
,"Forceps 6""",2,,,ILE,2023-05-19 00:00:00,,one is missing,TVM/23-24/0258,2023-05-19 00:00:00
,Glass slide,1 box,,Blue star,Lab supplies trivandrum,2023-01-12 00:00:00,,,R0001449,2023-01-12 00:00:00
,Glass slide ,1,50/pkt,Comer Eco,ILE,29-08-24,,Repalced due to straches,TVM/24-25/0987,29-08-24
,Glass slide,1,50/pkt,Comer Eco,ILE,17-01-25,,,TVM/24-25/2066,17-01-25
,Gloves,,,,,,,,,
,Hot gloves,1,,,,,,Bill is not available,,
,Rubber gloves,3,,,,,,Bill is not available,,
,"Google, transparent",,,,,,Stock:2,,,
,"Google, transparent",1,,,Lab supplies trivandrum,2023-01-12 00:00:00,,,R0001449,2023-01-12 00:00:00
,"Google, transparent",1,,,Lab supplies trivandrum,2023-01-18 00:00:00,,,W0000661,2023-01-18 00:00:00
,Hose clip,2,,,American auto stores,2024-04-27 00:00:00,,,B2B00367/2425,2024-04-27 00:00:00
,"Ice box, medium",1,,,"S.Ibrahim&Co., 39/72, Ibrahim bldg., Chalai bazar, TVM-695 036, Ph: 04712460262, 0471 2477170, Email: sicotvm@hotmail.com",2024-02-27 00:00:00,,,GC178191,2024-02-27 00:00:00
,"Indenti-Plug L800-E Plastic Foam Stopper, 46-65mm Openings",1,50/pkt,Cole-palmer (WW-06298-82),Biosys,2023-03-14 00:00:00,,,BSC2223-1882,2023-03-14 00:00:00
,Innoculation loop,1,,KD surgicals,Lab supplies trivandrum,,,,R0001449,2023-01-12 00:00:00
,Iphone,1,,,,,,,,
,"Kettle, 1.2L",1,,Premier,Lulu Hypermarket,Feb 02 2023,,,49/61161,2023-02-02 00:00:00
,Label for Astaxanthin,,,,,,,,,
,"Label for Astaxanthin, 5cmx5cm",1 sheet,28 no./sheet,,"Engineering books centre & Library, Engg. College Jn., TVM-81",2024-03-05 00:00:00,,,699,2024-03-05 00:00:00
,"Label for Astaxanthin, 11cmx8cm",1 sheet,6 no./sheet,,"Engineering books centre & Library, Engg. College Jn., TVM-81",2024-03-05 00:00:00,,,699,2024-03-05 00:00:00
,"Label for Astaxanthin,pvc",,,,"Print hub, 1st Floor Diya Gold, Palace road, Town U.P.S Jn., Attingal, Ph: 9400935525, Email: print.hub@yahoo.com",2024-03-27 00:00:00,,,5649,2024-03-27 00:00:00
,"Label for Astaxanthin,",,,,"Engineering books centre & Library, Engg. College Jn., TVM-81",2024-04-24 00:00:00,,,1185,2024-04-24 00:00:00
,Litmus paper,1,100lfs,,Lab supplies trivandrum,2023-01-18 00:00:00,,,W0000659,2023-01-18 00:00:00
,"Locker (18""x18""x7""), 3 partition, 3 locker",2,,,"Sobha Industry & Steel furniture unit, Chempakamangalam, Korani P.O., TVM -695104, ph: 9496995028, 9496260209",2023-04-18 00:00:00,,,2,2023-04-18 00:00:00
,LPG set,,,,Caravan Agencies,2023-01-14 00:00:00,,,44/22-23,2023-01-14 00:00:00
, LPG cylinder,1,,,,,,,,
, Adapter,1,,,,,,,,
, Hose pipe,2,,,,,,,,
, Lighter,1,,,,,,,,
,Measuring tape,,,,,,,Bill is not available,,
,Micrometer,,,,,,,,,
,Ocular micrometer,1,,Erna ,Sabari scientific supplies     ,2023-03-02 00:00:00,,,BB-234,2023-03-02 00:00:00
,"Stage micrometre (1 X3 in; 1mm scale, Division 0.01mm )",1,,Erna ,Sabari scientific supplies    ,2023-03-02 00:00:00,,,BB-234,2023-03-02 00:00:00
,Mortar and pestle,,,,,,,Stock:9,,
,Mortar and pestle 85 mm,7,,,Sabari scientific supplies,2023-05-04 00:00:00,,,BB-14,2023-05-04 00:00:00
,Mortar and pestle 100 mm,1,,,United Scietific and Educational Suppliers Pvt.Ltd. ,Jan 12 2023,,,610,2023-01-12 00:00:00
,Mortar and pestle 125 mm,1,,,United Scietific and Educational Suppliers Pvt.Ltd. ,Jan 12 2023,,,610,2023-01-12 00:00:00
,Parafilm 2'X250,1,,,Lab supplies trivandrum,Jan 12 2023,,,R0001449,2023-01-12 00:00:00
,Parafilm  2'X250,1,,Tarson,ILE,29-08-24,,,TVM/24-25/0987,2024-09-03 00:00:00
,Pendrive,1,64 GB,Sandisk,"Nandilath G mart, MR Tower, Moonumukku, Attingal, TVM-695104",2023-05-26 00:00:00,,,ATGL-232203088,2023-05-26 00:00:00
,Plain slide,1,50,Blue star,Lab supplies trivandrum,Jan 12 2023,,,R0001449,2023-01-12 00:00:00
,Preinked stamp,,,,,,,,,
,Preinked stamp,4,,Instant preinked stamp,"Instant stamp, T.C. 37/1128, Thamman  street, Fort, TVM-23, Ph: 9895061211",2022-11-16 00:00:00,,,1584,2022-11-16 00:00:00
,Preinked stamp,,,,,,,Bill is not available,,
,Revolving chair,,,,,,,,,
,Revolving chair,1,,,"Vanchinad Medicals and Surgicals TC1/1643 Opp Medical collage post office TVM-695 011 Ph: 0471-2444912, 2443912, 9447144912, 9846027000 Email: vanchisurgicals@rediffmail.com",Jan 16 2023,,,MBB-3146,2023-01-16 00:00:00
,Revolving chair along with long life care kit,1,,Ssavya homes,"Apex Industries, Rajdhani Park, Mangloi, New Delhi, Near Metro pillar No.-446, New Delhi-110041",2023-01-10 00:00:00,,Ordered through flipkart,FACMW12300044503,2023-01-10 00:00:00
,Rubber cork,,,,,,,Stock: No.13. -7 (4 discarded) No.12.- 5,,
,"Rubber cork, No.13",1,,,Sabari scientific supplies,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,"Rubber cork, No.13",5,,,Sabari scientific supplies,2023-06-26 00:00:00,,,BB-50,2023-06-26 00:00:00
,"Rubber cork, No.13",5,,,Sabari scientific supplies,2023-06-28 00:00:00,,,BB-54,2023-06-28 00:00:00
,"Rubber cork, No.12",5,,,Sabari scientific supplies,2023-06-28 00:00:00,,,BB-54,2023-06-28 00:00:00
,Sanitizer dispenser,1,,,,,,Bill is not available,,
,Septum,2,,,Sabari scientific supplies,2023-08-22 00:00:00,,Stock:2,BB-80,2023-08-22 00:00:00
,Sealing Strip for door,1,,Rexez,"Santram Enterprise, D-31, devashray industrial park, nr baroda express highway underpass, PH-4 GIDC vatva, Ahemadabad-382440",2023-05-31 00:00:00,,Ordered through flipkart,FAHQAR2400046971,2023-05-31 00:00:00
,"Serological pipette, 1 ml",1 box,500/pk,,Biomate,2023-02-02 00:00:00,Opened,,BMC2223-515,2023-02-02 00:00:00
,Silicon tube,,,,,,,,,
,"Silicon tube, 6mmx2mm",10m,,,Sabari scientific supplies        ,2023-01-26 00:00:00,,,BB-200,2023-01-26 00:00:00
,Silicon tube 10+14 mm,2.5m,,,American auto stores,2024-04-27 00:00:00,,,B2B00367/2425,2024-04-27 00:00:00
,"Silicon tube, transparent",,,,,,,Bill is not available,,
,Spatula,,,,,,,,,
,"Spatula ss, small",1,,,Lab supplies trivandrum,Jan 12 2023,Stock- 19,,R0001449,2023-01-12 00:00:00
,"Spatula ss, Medium",3,,,Lab supplies trivandrum,Jan 12 2023,,,R0001449,2023-01-12 00:00:00
,"Spatula ss, Large",3,,,Lab supplies trivandrum,Jan 12 2023,,,R0001449,2023-01-12 00:00:00
,Spatula,4,,,ILE,2023-05-19 00:00:00,,,TVM/23-24/0258,2023-05-19 00:00:00
,"Spatula ss, 15 cm",2,,,Sabari scientific supplies           ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,"Spatula micro scoop ss 6""",1,,,Sabari scientific supplies ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,Spatula wire type 20cm,1,,,Sabari scientific supplies   ,2023-06-07 00:00:00,,,BB-36,2023-06-07 00:00:00
,"Spatula ss, 15 cm",2,,,Sabari scientific supplies    ,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,"Spatula ss, 20 cm",2,,,Sabari scientific supplies     ,2023-08-22 00:00:00,,,BB-80,2023-08-22 00:00:00
,"Spatula SS,15 cm",3,,,Sabari scientific supplies     ,,,,BB-41,2024-07-06 00:00:00
,"Spatula SS, 20 cm",3,,,Sabari scientific supplies     ,,,,BB-41,2024-07-06 00:00:00
,"Spatula Micro scoop S.S6""",1,,,Sabari scientific supplies     ,29/08/24,,,BB-124,
,Spatula SS 15 cm,10,,,"Sabari scientific supplies Scientific Supplies           Sreepankajam Building, Police Quarters Road, Nemom, Thiruvananthapuram - 695020                                                          Ph-9447863355, 9746438384                             Email: Sabari scientific supplieslabsupplies@gmail.com            http://www.Sabari scientific suppliesscientificsupplies.com",16-11-24,,,BB-181,16-11-24
,"Spirit level, 60 cm",1,,Freemans,"Diplomate hardware TC 1/3716, Aswathy, Kazhakuttom, Thiruvananthapuram-695582 Ph; 9778511366",March 08 2023,,,2870,2023-03-08 00:00:00
