Sl.No.,Particulars,Qty,Unit,Brand,Model no.,Serial no.,Dealer,Installation date,Comments,Invoice no.,Invoice date
,"Micropipette, 50 ul",1.0,1.0,Micropipette lab aid,,,Sabari scientific supplies,Purchased on 02-03-2023,,BB-234,2023-03-02 00:00:00
,"Micropipette, 10-100 ul",1.0,1.0,Gilson,,,,,Gift from Nu Tech Equipments,,
,"Micropipette, 100-1000 ul",1.0,1.0,Borossil,,,Biomate,2023-01-28 00:00:00,,BMC2223-504,2023-01-28 00:00:00
,"Micropipette, 1000-10000 ul",1.0,1.0,Borossil,,,Biomate,2023-01-28 00:00:00,,BMC2223-504,2023-01-28 00:00:00
,PAR meter,1.0,1.0,Li-cor,,,,,Bill is not available,,
,Peristaltic pump,1.0,1.0,V6-6L/DZ25-6L,,,"Virtual Instrumentation & Software Applications Pvt.Ltd. Vision Tower, Yogam gargen, 15/16/17, Brindhavan Nagar, Valasaravakkam, Chennai -600 087 Ph: 04443552440 Email: support@visapvtltd.co.in",2024-01-18 00:00:00,,122,2024-01-18 00:00:00
,Pharmacy refrigerator,1.0,1.0,Blue star,YC-260WDFI,M71217077432000055,Calgon scientific,Installed on 10/01/23,Found unusual sound and issue resolved,CA/5187,2022-08-30 00:00:00
,pH meter,1.0,1.0,Eutech,pH tester20,,ILE,purchased on 18 Aug 2022,,ILE/T/0512/22-23,2022-08-18 00:00:00
,pH sensor,1.0,1.0,Hanna,HI10832,548A2B,,Installed/caliberated on 05-10-2023 (first),Bill is not available,,
,pH sensor,1.0,1.0,Microset,Ms Ph 03,,Microset instrumentation & controls,"Invoice date:Jan 29-2024, received on 02-02-24, installed/caliberated on 07-02-24",,MIC/2023-24/380,2024-01-29 00:00:00
,pH sensor,1.0,1.0,Hanna,HI10482,44F92A,,Installed on 07/01/25,,SB/24-25/5341,30/12/24
,pH sensor,1.0,1.0,Microset,MS Ph 03,SN:01685,Microset instrumentation & controls,2025-11-03 00:00:00,,MIC/2024-25/445,2025-05-03 00:00:00
,pH indicating cnotroller cum transmitter,1.0,1.0,Microset,Ms Ph 97,,"Microset instrumentation & controls, 102 Chinmay, 1103A 10 Lakaki Road, Model Colony, Shivaji Nagar, Pune, Maharashtra- 411016, Ph: 9922200377, 9850041801, Email: Admin@MicroSetindia.com, Sales@MicroSet.co.in","Invoice date:Jan 29-2024, received on 02-02-24, installed on 07-02-24",,MIC/2023-24/380,2024-01-29 00:00:00
,pH ORP Indicating  controller cum transmitter ,1.0,1.0,Microset,MSPh 97,SN:00461,Microset instrumentation & controls,2025-11-02 00:00:00,,MIC/2024-25/445,2025-05-03 00:00:00
,Pretreatment LabQ,,,,,,Calgon scientific,purchased on 09-03-2023,,15524,2023-03-09 00:00:00
,Pretreatment pump,,,,,,Calgon scientific,purchased on 03-11-2023,,CB/1708,2023-11-03 00:00:00
,Printer,,,Epson,,,,,Bill is not available,,
,Rotary shaker,1.0,1.0,Rotek,RRS-08,2213,Calgon scientific,Installed on 10/01/23,,CA/5244,2022-09-21 00:00:00
,Spectrophotometer,1.0,1.0,Systronics (India)Ltd.,104,2604,ILE,Installed on 13/01/2023,Found switch complaint on 16/11/23  and issue was resolved on 20/11/23,ILE/T/0675/22-23,2022-10-06 00:00:00
,Thermometer,2.0,,,,,"Calgon, ILE","Calgon - 30/08/22, ILE- 05-05-2023",,"TVM/23-24/0160 (ILE), CA/5188(Calgon)","05-05-2023 (ILE), 30-08-2022(Calgon)"
,Thermometer,1.0,1.0,,,90251190,ILE,ILE-20-12-24,,TVM/24-25/1837,20-12-24
,Tissue culture rack,1.0,1.0,Rotek,RTCR-03,2201,Calgon scientific,purchased on 21/09/22,,CA/5244,2022-09-21 00:00:00
,"Type II water system, Make: Ion exchange",1.0,1.0,Indion,INDION LAB Q SMART TYPE 2, LQHS20011,Calgon scientific,Installed on 10/01/23,inspected and found issue in TFT valve and repalced the valve on 23/03/23,CA/5224,2022-09-14 00:00:00
,Vaccum cleaner,1.0,,Eureka Forbes,,,,,Bill is not available,,
,"Waterbath, 350x20x125mm",1.0,,Rotek plus,,,Sabari scientific supplies,2023-05-04 00:00:00,,BB-14,2023-05-04 00:00:00
