Sl.No.,Name,Grade,Product code,CAS No.,Lot No.,Qty,Unit,Brand,Supplier,Received on,Mfg. Date/QC* release date,Exp./Retest* Date,Opened on,Finished on,COA,Spec,SDS,Comments,Invoice No.,Invoice date
15.0,Ferric citrate monohydrate,,GRM169-500G,2338-05-08 00:00:00,581742,1,500 gm,Himedia,ILE,2024-01-16 00:00:00,25-03-23*,2027-03-20 00:00:00,2024-02-20 00:00:00,,ü,ü,ü,,TVM/23-24/1820,2024-01-16 00:00:00
16.0,Ferrous Sulphate  Heptahydrate,"Pure, 98%",31929,7782-63-0,8663134,1,500 gm,Sisco Research Laboratories Pvt.Ltd.,Calgon Scientific ,2022-10-19 00:00:00,2022-03-01 00:00:00,2027-03-01 00:00:00,,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
17.0,Lugol's Iodine,,L 31271,,103883,1,125 ml,Nice Chemicals,ILE,2023-03-22 00:00:00,,,Opened,,,,ü,,ILE/T/1569/22-23,2023-03-22 00:00:00
18.0,Magnesium Sulphate Heptahydrate,SQ,Q18955,10034-99-8,7363760922,4                  Pack 1 opened,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-10-19 00:00:00,2022-09-01 00:00:00,01-09-2027*,2023-01-16 00:00:00,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
19.0,Mangnous Chloride Tetrahydrate (MnCl4),ExcelaR-ACS,Q15545,13446-34-9,7222110622,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-10-19 00:00:00,2022-06-01 00:00:00,01-06-2027*,,,ü,ü,,,CA/5318,2022-10-15 00:00:00
20.0,Manganese Chloride (MnCl2),,15590,13446-34-9,MCR-25335,1,500 gm,Molychem,Sabari Scientific Supplies      ,2023-01-26 00:00:00,2022-03-01 00:00:00,2027-02-01 00:00:00,2023-01-26 00:00:00,,ü,ü,ü,,BB-200,2023-01-26 00:00:00
21.0,Potassium Dihydrogen Orthophosphate,SQ,Q19465,7778-77-0,7305340722,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-09-29 00:00:00,2022-07-01 00:00:00,01-07-2027*,2023-01-16 00:00:00,,ü,ü,ü,,CA/5266,2022-09-28 00:00:00
22.0,Potassium Nitrate,SQ,Q26765,7757-79-1,7203440522,2                   Pack 1 opened,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-09-29 00:00:00,2022-05-01 00:00:00,01-05-2027*,2023-01-26 00:00:00,,ü,,ü,,CA/5266,2022-09-28 00:00:00
,Potassium Chloride,LR,P11829,7447-40-7,911171,1,500 gm,Nice Chemicals,Sabari Scientific Supplies      ,2023-08-22 00:00:00,,,opened,,,,,,BB-36,2023-06-07 00:00:00
23.0,Propidium Iodide,,14887,25535-16-4,1598478,1,10 ml,SRL,Calgon Scientific ,2023-03-31 00:00:00,2022-03-01 00:00:00,2024-03-01 00:00:00,,,ü,ü,ü,,CA/5964,2023-03-31 00:00:00
,Quinine hemisulphate salt monohydrate,synthetic,Q1250-5G,207671-44-1,1003639338,1,5 gm,Merck,ILE,2024-04-04 00:00:00,2022-02-21 00:00:00,,,,ü,ü,ü,,TVM/24-25/0015,2024-04-04 00:00:00
24.0,Silca gel blue (3-8 mesh),LR,S10929,,110533,1,500 gm,Nice Chemicals,ILE,2023-07-20 00:00:00,,,,Finished,,,ü,,TVM/23-24/0626,2023-07-20 00:00:00
25.0,Silca gel blue (3-8 mesh),LR,S10929,,110533,1,500 gm,Nice Chemicals,ILE,,,,Opened,,,,ü,Bill is not available,,
26.0,Sodium Acetate anhydrous,SQ,Q20125,127-09-3,7384960922,2,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-10-19 00:00:00,2022-09-01 00:00:00,01-09-2027*,,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
27.0,Sodium Carbonate anhydrous,SQ,Q27555,497-19-8,7179470522,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-09-29 00:00:00,2022-05-01 00:00:00,01-05-2027*,2023-01-26 00:00:00,,ü,ü,ü,,CA/5266,2022-09-28 00:00:00
28.0,Sodium Chloride,Extrapure AR 99.5%,41721,7647-14-5,2684048,2,500 gm,Sisco Research Laboratories Pvt.Ltd.,Calgon Scientific ,2022-10-19 00:00:00,2022-07-01 00:00:00,2027-07-01 00:00:00,2024-02-20 00:00:00,,ü,ü,ü,,CA/5318,2022-10-15 00:00:00
29.0,Sodium molybdate dihydrate,Hi-LR,GRM415-100G,10102-40-6,596739,1,100 gm,Himedia,ILE,2024-01-16 00:00:00,03-07-23*,2027-06-28 00:00:00,2024-02-20 00:00:00,,ü,ü,ü,,TVM/23-24/1820,2024-01-16 00:00:00
30.0,Sodium Nitrate,SQ,27855,7631-99-4,2529342716,2                   Pack 1 opened,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2023-01-10 00:00:00,,,2023-01-26 00:00:00,,,,ü,,CA/5596,2023-01-07 00:00:00
31.0,Urea,LR,U 1002,57-13-6,328106,1,500 gm,Isochem,"Biosys                                        Vivekananda Nagar, VNRA-85 Edappazhanji Thiruvananthapuram 695 006        Ph: 0471-2352883, 9847245887, 9847725887                                        Email: biosys.tvm@gmail.com",2023-01-18 00:00:00,2021-06-01 00:00:00,2026-05-01 00:00:00,2023-01-26 00:00:00,,ü,ü,,,W0000660,2023-01-18 00:00:00
32.0,Thiamine hydrochloride,SQ,Q10592,67-03-8,7391941022,4                  Pack 1 opened,25 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-12-16 00:00:00,2022-10-01 00:00:00,01-10-2027*,2023-01-26 00:00:00,,ü,,ü,,CA/5344,2022-10-21 00:00:00
33.0,Vitamin B12 assay medium,,M036-100G,,616699,1,100 gm,Himedia,ILE,2024-01-16 00:00:00,,,ordered by mistake,,,,,,TVM/23-24/1820,2024-01-16 00:00:00
,Vitamin B12,,TC183-1G,68-19-9,593912,1,1gm,Himedia,ILE,2024-03-06 00:00:00,,2026-06-01 00:00:00,15-03-024,,,,,,TVM/23-24/2214,2024-03-04 00:00:00
,Vitamin B12 assay medium,,TC183-1G,68-19-9,613657,1,1GM,Himedia,ILE,2024-06-08 00:00:00,,,,,ü,,ü,,TVM/24-25-0843,2024-06-08 00:00:00
34.0,Zinc Chloride,SQ,Q28785,7646-85-7,7178180522,1,500 gm,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2022-10-19 00:00:00,2022-05-01 00:00:00,01-05-2027*,2024-02-20 00:00:00,,ü,,ü,Discarded due to colour change,CA/5318,2022-10-15 00:00:00
,Zin chloride,SQ,Q28785,7646-85-7,8304590524,1`,500 gm,Qualigens,ILE,24-06-24,2024-05-01 00:00:00,1-05-2029*,,,ü,,ü,,TVM/24-25-0770,24/07/24
35.0,Zinc Sulphate,LR,Z10729,7733-02-0,8544,1,500 gm,Nice Chemicals,Sabari Scientific Supplies      ,2023-01-26 00:00:00,,,2023-01-26 00:00:00,,,,ü,,BB-200,2023-01-26 00:00:00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Solvents,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Acetone ,Hi-LR,As024,67-64-1,RM/027/23,1,2.5L,Himedia,ILE,24/06/24,,,,,,,ü,,TVM/24-25/0770,24/07/24
1.0,Acetone,,Q33515,67-64-1,1844710317,1,500 ml,Thermo fisher (Qualigens),Calgon Scientific ,2023-04-27 00:00:00,,,,Finished,,,ü,,CA/6015,2023-04-27 00:00:00
,Acetone,Hi-AR,AS025-500ml,67-64-1,RM/061/21,2,500 ml,Himedia,ILE,2023-05-08 00:00:00,,,,Finished,,ü,ü,,TVM/23-24/0178,2023-05-08 00:00:00
,Acetone,Extrapure,,67-64-1,608340210FV,1,2.5L,FINAR,ILE,2023-05-19 00:00:00,,,,Finished,,,,,TVM/23-24/0258,2023-05-19 00:00:00
,Acetone ,Extrapure,,67-64-1,341860201GV,1,2.5L,FINAR,ILE,2023-08-12 00:00:00,,,,Finished,,,,,TVM/23-24/0781,2023-08-12 00:00:00
,Acetone ,Hi-AR,AS025-2.5L,67-64-1,RM/018/22,1,2.5L,Himedia,ILE,2023-12-15 00:00:00,,,opened,,,,,,TVM/23-24/1612,2023-12-15 00:00:00
,Acetone ,Hi-AR,2.5 L,,,1,2.5L,Himedia,ILE,17-01-25,,,,,,,,The product was not received but included in the bill ( 22-01-25),TVM/24-25/2066,17-02-25
2.0,Ethyl acetate,LR,E11429,141-78-6,104013,1,500 ml,Nice Chemicals,Sabari,,,,,,,,ü,Bill is not available,,
3.0,Dimethy sulphoxide (DMSO),AR,14187,67-68-5,MCR-26490,1,500 ml,Molychem,Sabari,2023-05-04 00:00:00,2022-09-01 00:00:00,2026-08-01 00:00:00,,Finished,ü,ü,ü,,BB-14,2023-05-04 00:00:00
,Dimethy sulphoxide (DMSO),AR,23037,67-68-5,MCRT-20871-01,1,500 ml,Molychem,Sabari,2023-06-07 00:00:00,,,,Finished,,,,,BB-36,2023-06-07 00:00:00
,Dimethy sulphoxide (DMSO),,GRM5856-250 ML,67-68-5,577754,2,250 ml,Himedia,ILE,2023-11-28 00:00:00,28-02-23*,2027-02-22 00:00:00,,Finished,ü,ü,ü,,TVM/23-24/1467,2023-11-28 00:00:00
,Dimethy sulphoxide (DMSO),,GRM5856-100 ML,67-68-5,577754,2,100 ml,Himedia,ILE,2023-12-15 00:00:00,28-02-23*,2027-02-22 00:00:00,,Finished,ü,ü,ü,,TVM/23-24/1612,2023-12-15 00:00:00
,Dimethy sulphoxide (DMSO),>=99.5%,GRM5856-250 ML,67-68-5,653782,1,250 ml,Himedia,ILE,22-10-24,2024-07-01 00:00:00,,,Finished,ü,ü,ü,,,
,Dimethy sulphoxide (DMSO),>=99.5%,GRM5856-250 ML,67-68-5,653782,1,250 ML,Himedia,ILE,20-12-24,2024-07-01 00:00:00,,,,ü,ü,ü,,TVM/24-25/1837,20-12-24
,Dimethy sulphoxide (DMSO),>=99.5%,GRM5856-250 ML,67-68-5,653782,2,250 ML,Himedia,ILE,27/02/25,2024-07-01 00:00:00,,,,,,,,TVM/24-25/2354,27/02/25
,,,,,,,,,,,,,,,,,,,,
,Isopropyl alcohol,SQ,Q2689C,67-63-0,7522191222,1,25 L,Thermo Fisher Scientific (Qualigens),Calgon Scientific ,2023-01-11 00:00:00,,,opened,,ü,,,,CA/5618,2023-01-11 00:00:00
,Solutions,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,pH buffer 7,,B43339,,109552,1,500 ML,Nice Chemicals,Biosys,2023-01-18 00:00:00,2021-09-01 00:00:00,,opened,,,,,,W0000658,2023-01-18 00:00:00
,pH buffer 4,,B 1032,,220005,1,500 ML,Isochem,Biosys,2023-01-18 00:00:00,2020-05-01 00:00:00,,opened,,,,,,W0000658,2023-01-18 00:00:00
,pH buffer 10,,B 2039,,294301,1,500 ML,Isochem,Biosys,2023-01-18 00:00:00,2023-01-01 00:00:00,,opened,,,,,,W0000658,2023-01-18 00:00:00
,"pH buffer, 4",,ECBU4BT;  01X211201,,462/01,1,480 ml,Thermo Fisher Scientific ,ILE,2023-07-20 00:00:00,2022-11-18 00:00:00,2025-11-18 00:00:00,opened,,ü,,,,TVM/23-24/0626,2023-07-20 00:00:00
,"pH buffer, 7",,ECBU7BT;  01X211202,,482/01,1,480 ml,Thermo Fisher Scientific ,ILE,2023-07-20 00:00:00,2022-12-02 00:00:00,2025-12-02 00:00:00,opened,,ü,,,,TVM/23-24/0626,2023-07-20 00:00:00
,"pH buffer, 10",,ECBU10BT; 01X211203,,471/04,1,480 ml,Thermo Fisher Scientific ,ILE,2023-07-20 00:00:00,2021-11-26 00:00:00,2024-11-26 00:00:00,opened,,ü,,,,TVM/23-24/0626,2023-07-20 00:00:00
,"Sodium hypochlorite, 4% w/v solution",,DL4D742071,,UN 1791,1,1 L,"Supelco ,Merck",ILE,20-12-24,2024-12-01 00:00:00,,,,,,ü,,,
,"Sodium hypochlorite, 4% w/v solution",Hi-AR/ACS,A5102-1L,7681-52-9,RM/069/22,2,1L,Himedia,ILE,2023-06-05 00:00:00,,,opened,finished on 13-03-2024,,ü,ü,,TVM/23-24/0352,2023-06-05 00:00:00
,"Sodium hypochlorite, 4% w/v solution",Hi-AR/ACS,A5102-1L,7681-52-9,RM/067/23,2,1L,Himedia,ILE,2024-03-04 00:00:00,,,one bottle is opened on 15-03-2024,,,,,,TVM/23-24/2214,2024-03-04 00:00:00
,Formaldehyde,LR,14560,50-00-0,MCR-25437,1,500 ml,Molychem,Sabari,2023-11-15 00:00:00,2022-04-01 00:00:00,2027-03-01 00:00:00,opened,,ü,,ü,,BC-846,2023-11-15 00:00:00
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Acids,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Hydrochloric acid,EMPARTA® ACS,1.93001.0521,7647-01-0,DL2D721890,1,500 ml,Merck,ILE,2023-05-02 00:00:00,2022-12-01 00:00:00,2027-11-01 00:00:00,opened,,ü,,ü,,TVM/23-24/0128,2023-05-02 00:00:00
