Sl.No.,Item,Qty,Unit,Brand,Supplier,Date of purchase,Finished/opened,Comments,Invoice no.,Invoice data
,"Testtube rack, 25mmx12 tubes",1,,,Lab supplies trivandrum,2023-01-18 00:00:00,,Stock:1,W0000661,2023-01-18 00:00:00
,Testtube rack,1,,Tarson,ILE,2023-10-31 00:00:00,,Stock:1,TVM/23-24/1260,2023-10-31 00:00:00
,Wash bottle,,,,,,,,,
,Wash bottle,3,250 ml,,1. Lab supplies trivandrum 2. Sabari scientific supplies(2),"Lab supplies tvm- 12-01-23, Sabari - 14-01-23",,Stock: 3,"R0001449(Lab supplies), BB-193(Sabari)","12-01-2023(Lab supplies), 14-01-2023(Sabari)"
,Wash bottle,1,500 ml,,Lab supplies trivandrum,2023-01-12 00:00:00,,Stock:1,R0001449,2023-01-12 00:00:00
,Ziplock cover,,,,,,,,,
,"Zip lock cover, 26cmx28cm,42 micron, size-medium",1,10nos/pack,Fresh-N-Loc Ziptouch,Kunnil Hypermarket,Jan 09 2023,,Stock:2,374684,2023-01-09 00:00:00
,Zip lock 5X 7,1,100,,Lab supplies trivandrum,2023-01-12 00:00:00,,Stock:31,R0001449,2023-01-12 00:00:00
,Zip lock 10x12,1,20,,Sabari scientific supplies,2023-08-22 00:00:00,,Stock:21,BB-80,2023-08-22 00:00:00
,Zip lock 9x12,1,20,,Sabari scientific supplies,2023-08-22 00:00:00,,Item is missing,BB-80,2023-08-22 00:00:00
