Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,30,Natural Astaxanthin,Bottle no:10 ( Fridge),Liquid,AO05210816060,16-08-2021,15-08-2025,,"Synthite Industries private limited, Synthite valley,Kadayiruppu,Kolenchery,Eranakulam 682311, 977841232 (Yadhu Krishna)",24/03/25,""""
,31,Astaxanthin 6 mg + Omega 3 softgels,2,,,,,,"Amala Cancer research center ,Thrissur",20/03/25,
,32,Bacopa monnieri 75 mg + Astaxanthin 6 mg softgels,1 bottle- 60 Nos,Tablet,SRT24245,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"ALGAMO sro
Mostek 227
544 75 MOSTEK
Czech Republic
Att. To Martin Tel: +420602127411",2025-04-01 00:00:00,
,33,Curcumin extract 50 mg + Astaxanthin 6 mg softgels,1 bottle -60 Nos,Tablet,SRT24247,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"ALGAMO sro
Mostek 227
544 75 MOSTEK
Czech Republic
Att. To Martin Tel: +420602127411",,Courier sent via Professional courier
,34,Astaxanthin 6 mg + Omega 3 softgels,1 bottle -60 Nos,Tablet,SRT24246,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,"ALGAMO sro
Mostek 227
544 75 MOSTEK
Czech Republic
Att. To Martin Tel: +420602127411",,
,,,,,,,,,,,
,35,Curcumin extract 50 mg + Astaxanthin 6 mg softgels,1 bottle- 60 Nos,Tablet,SRT24247,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,Handed over to Roy sir,2025-04-19 00:00:00,
,,,,,,,,,,,
,36,Bacopa monnieri 75 mg + Astaxanthin 6 mg softgels,1 bottle- 60 Nos,Tablet,SRT24245,2024-10-01 00:00:00,,Softgel Healthcare Pvt .Ltd,Handed over to Roy sir,2025-04-19 00:00:00,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,37,Pucina granatum skin extract ( 40% Punicagalins),"1 bottle, Bottle no:1, 40 g",,PUN32A16,2023-01-01 00:00:00,2025-01-25 00:00:00,,"Dr. BS Patro,                                                                                                  14 B, Kanchanjunga Building, Opposite,                                                                                  Atomic Energy Central School 4,                                                                                     Anushaktinagar, Mumbai 400094,                                          Maharashtra",2025-04-21 00:00:00,Courier sent via Professional courier ( 21-04-25)
,38,5% Natural Astaxanthin,"1 bottle ,Bottle no:11, 46.5 g",,AO05210816060,16-08-23,15-08-25,,"Dr. BS Patro,                                                                                                  14 B, Kanchanjunga Building, Opposite,                                                                                  Atomic Energy Central School 4,                                                                                     Anushaktinagar, Mumbai 400094,                                          Maharashtra",2025-04-21 00:00:00,Courier sent via Professional courier
