Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchased/recieved/ opened on,Finished on,Comments,Invoice No.,Invoice date
,"Nitrile gloves, small",1.0,100 pcs./pkt,Unisoft,ILE,2023-11-28 00:00:00,Finished,,TVM/23-24/1467,2023-11-28 00:00:00
,"Nitrile gloves, small",1.0,100 pcs./pkt,Unisoft,ILE,2023-12-15 00:00:00,Finished,,TVM/23-24/1612,2023-12-15 00:00:00
,"Nitrile gloves, small",2.0,100 pcs./pkt,Unisoft,ILE,2024-01-16 00:00:00,one is opened,,TVM/23-24/1820,2024-01-16 00:00:00
,"Nitrile gloves, small",1.0,100 pcs./pkt,Cole palmer,ILE,2024-05-27 00:00:00,,,TVM/24-25/0329,2024-05-27 00:00:00
,"Nitrile gloves, medium",2.0,100/Pkt,VWR,Lab supplies trivandrum,2023-01-12 00:00:00,Feb 22 2023,,R0001449,2023-01-12 00:00:00
,"Nitrile gloves, medium",1.0,100 pcs./pkt,Unisoft,ILE,2023-11-28 00:00:00,Finished,,TVM/23-24/1467,2023-11-28 00:00:00
,"Nitrile gloves, medium",2.0,100 pcs./pkt,Unisoft,ILE,2023-12-15 00:00:00,"one is finished, one is opened",,TVM/23-24/1612,2023-12-15 00:00:00
,"Nitrile gloves, medium",2.0,100 pcs./pkt,Unisoft,ILE,2024-01-16 00:00:00,Finished,,TVM/23-24/1820,2024-01-16 00:00:00
,"Nitrile gloves, medium",1.0,100 pcs./pkt,Unisoft,ILE,2024-04-18 00:00:00,Finished,,TVM/24-25/0087,2024-04-17 00:00:00
,"Nitrile gloves, medium",2.0,100 pcs./pkt,Unisoft,ILE,24-07-24,,Opened,TVM/24-25/0770,
,"Nitrile gloves, large",2.0,100/Pkt,"VWR(1), Prex nitrile gloves(1)",VWR - Lab supplies trivandrum    Prex - Sabari ,VWR -Jan 12 2023,VWR - Feb 22 2023,,R0001449(Lab supplies),2023-01-12 00:00:00
,"Nitrile gloves, large",2.0,100 pcs./pkt,Unisoft,ILE,2023-05-02 00:00:00,Finished,,TVM/23-24/0128,2023-05-02 00:00:00
,"Nitrile gloves, large",2.0,100/pkt,unisoft,ILE,2023-10-31 00:00:00,Finished,,TVM/23-24/1260,2023-10-31 00:00:00
,"Nitrile gloves, large",1.0,100/pkt,Kimtech,Sabari scientific supplies ,2023-03-02 00:00:00,,,BB-234,2023-03-02 00:00:00
,"Nitrile gloves, XL",1.0,100/Pkt,Cole palmer,Biosys,2023-01-30 00:00:00,Finished,,BSC2223-1591,2023-01-30 00:00:00
,"Nitrile gloves, large",,100/Pkt,Unisoft,ILE,2024-06-08 00:00:00,Finished,Opened,TVM/24-25-0843,2024-06-08 00:00:00
,"Nitrile gloves, medium",,,Unisoft,ILE,29-08-24,Finished,,TVM/24-25/0987,29-08-24
,"Nitrile gloves,medium",3.0,100/pkt,Unisoft,ILE,22-10-24,Finished,,TVM/24-25/1381,22-10-24
,"Nitrile gloves, medium",1.0,100/PKT,Unisoft,ILE,16-11-24,Finished,,TVM/24-25/1569,
,"Nitrile gloves, small",1.0,100/PKT,KIMTECH,ILE,16-11-24,Finished,,TVM/24-25/1569,
,"Nitrile gloves,Medium",2.0,100/pkt,KIMTECH,ILE,17-01-25,,,TVM/24-25/2066,17-01-25
,"Nitrile gloves,Small",2.0,100/ pkt,Kimtech,ILE,17-01-25,,,TVM/24-25/2066,17-01-25
5.0,Shoe cover,1.0,100 pcs/Pkt,,"Vanchinad Medicals and Surgicals TC1/1643 Opp Medical collage post office TVM-695 011 Ph: 0471-2444912, 2443912, 9447144912, 9846027000 Email: vanchisurgicals@rediffmail.com",Jan 16 2023,,Stock: 81,MBB-3147,2023-01-16 00:00:00
6.0,Tissue paper ,,,,,,,Stock: 5 ,,
,Tissue paper ,1.0,100/PKT,Paseo smart,"Kunnil hypermarket, Kaniyapuram",21/07/24,,,GK25-205591,21/07/24
,Tissue paper ,1.0,100/PKT,Paseo smart,"Kunnil hypermarket, Kaniyapuram",21/07/24,,,GK25-205591,21/07/24
,Tissue paper ,3.0,,,Lulu Hypermarket,2023-04-05 00:00:00,Finished,,176353,2023-04-05 00:00:00
,Tissue paper ,5.0,,Pasio,"Margin free market, Shifa complex, Mangalapuram",2023-04-28 00:00:00,Finished,,3185,2023-04-28 00:00:00
,Tissue paper ,3.0,,Pasio,"Kunnil hypermarket, Kaniyapuram",2023-10-16 00:00:00,Finished,,GK24-325706,2023-10-16 00:00:00
,Tissue paper ,2.0,,Pasio,"Margin free market, Shifa complex, Mangalapuram",2024-01-23 00:00:00,Finished,,32958,2024-01-23 00:00:00
,Tissue paper ,2.0,2,FNF Tucher,Lulu Hypermarket,2024-02-05 00:00:00,Finished,,110483,2023-02-05 00:00:00
,Tissue paper ,,,Premier,,,Finished (Bill is not available),,,
,Tissue paper ,4.0,,white night,,,Finished (Bill is not available),,110483,2024-02-05 00:00:00
,Tissue paper ,2.0,100/pkt,white night,"Smart Point, Mangalapuram",2024-04-28 00:00:00,Finished on 23-05-24,,129,2024-04-28 00:00:00
,Tissue paper ,2.0,100/pkt,"white night, 30x30cm","Smart Point, Mangalapuram",2024-05-23 00:00:00,Finished,,86,2024-05-23 00:00:00
,Tissue paper ,3.0,100/pkt,"Home one, 30x30cm","Smart Point, Mangalapuram",2024-05-23 00:00:00,Finished,,86,2024-05-23 00:00:00
,Tissue paper (small),2.0,100/pkt,"Home one, 30x30cm","Smart Point, Mangalapuram",2024-04-09 00:00:00,,,86,2024-04-09 00:00:00
,Tissue paper,2.0,30x30 cm ( 100),FNF-P,Lulu Hypermarket,2024-08-09 00:00:00,,,100807,2024-08-09 00:00:00
,Tissue paper (large),6.0,100/pkt,"Home one, 30x30cm","Smart Point, Mangalapuram",2024-04-09 00:00:00,,,86,2024-04-09 00:00:00
,Tissue paper,3.0,100/pkt,Fresh and fine 30x30 cm,Lulu Hypermarket,2024-06-09 00:00:00,,,508464,2024-06-10 00:00:00
,Tissur paper,2.0,30x30 cm ( 100),Fresh and fine 30x30 cm,Lulu Hypermarket,24-11-24,,,209442,24-11-24
,Tissue paper ,3.0,30x30 cm ( 100),FNF-P,Lulu Hypermarket,2025-03-03 00:00:00,,,244171,2025-03-03 00:00:00
,Tissue paper,3.0,30 x30 cm(100 ),Fresh and fine ,Lulu Hypermarket,20/04/25,,,508464,20/04/25
,,,,,,,,,,
7.0,Tissue roll,,,,,,,Stock: 2 (1 is opened),,
,Tissue roll,1.0,,,Sabari scientific supplies ,2023-01-14 00:00:00,Finished,,BB-193,2023-01-14 00:00:00
,Tissue roll,1.0,,,Lulu Hypermarket,2023-04-22 00:00:00,Finished,,7/87335,2023-04-22 00:00:00
,Tissue roll,2.0,,Sosoft,Lulu Hypermarket,2024-02-05 00:00:00,one is opened,,110483,2024-02-05 00:00:00
,Tissue napkins (30 x30 cm),,,,,,Finished ,,,2024-06-06 00:00:00
,Tissue roll,1.0,,,ILE,16-11-24,Finished,,TVM/24-25/1569,16-11-24
,Tissue paper roll,2.0,100 mtr,sur,Sabari scientific supplies ,16-11-24,Finished,,BB-181,16-11-24
,Tissue napkins (30 x30 cm),3.0,30x30 cm ( 100),Fresh and fine 30x30 cm,Lulu Hypermarket,20-1-25,,,218988,20-1-25
,Tissue roll,1.0,,Fresh and fine ,Lab supplies,27-01-25,,,W000631,27-01-25
,,,,,,,,,,
,pH indicater paper,1.0,8-10.5,Glaxo,Sabari scientific supplies ,16-11-24,,,BB-181,16-11-24
,pH indicater paper,1.0,5-7.5,Glaxo,Sabari scientific supplies ,16-11-24,,,BB-181,16-11-24
