Sl.No.,Item,Qty,Unit,Brand,Supplier,Purchase date,Comments,Invoice no.,Invoice date
,Beaker,50 ml,4,Borossil,"Lab supplies trivandrum, 25/1643-3,Vasantham chambers,Nr. Sreekumar theatre, SS Kovil road 32- Kerala, Thampanoor, Trivandrum-695001 Phone: 0471-4858444, 6282334304, 9847245887 Website: labsupplies.in; labsuppliestrivandrum.com E mail: labsuppliesemail@gmail",Purchased on Jan 12 2023,"Stock:3, one was broken (05-04-24)",R0001449,2023-01-12 00:00:00
,Beaker,100 ml,4,Borossil,Lab supplies trivandrum,Jan 12 2023,"Stock:3, one was broken",R0001449,2023-01-12 00:00:00
,Beaker,500 ml,4,Borossil,Lab supplies trivandrum,Jan 12 2023,Stock:4,R0001449,2023-01-12 00:00:00
,Beaker,1000 ml,4,Borossil,Lab supplies trivandrum,Jan 12 2023,Stock:4,R0001449,2023-01-12 00:00:00
,Beaker Low form,10 ml,3,Borossil,ILE,2024-06-08 00:00:00,,TVM/24-25/0843,2024-06-08 00:00:00
,Conical flask,,,,,,,,
,Conical flask,50 ml,15,Glassco,"Calgon Scientific, Vinayaka Building, Ponekkara, AIMS P.O. Edapally, Kochi, Kerala, 682 041                        Ph-+914842802330/2352,  Email: info@calgonscientific.com                 http://www.calgonscientific.com                 ",2022-08-30 00:00:00,"Stock: 14 present, one is missing",CA/5189,2022-08-30 00:00:00
,Conical flask,250 ml,15,Glassco,Calgon Scientific ,2022-08-30 00:00:00,Stock:15,CA/5189,2022-08-30 00:00:00
,Conical flask,500 ml,55,"Glassco (15), Borossil (40)","Borossil - Biomate TC 42/2473(2), VNRA-85(A) Vivekananda Nagar, Edapazhanji, Trivandrum- 695 006, Ph: 0471-6568884, 09544548884, 09544948884                                                     Email: biomatekerala@gmail.com;                   Glassco - Calgon scientific (15),   Borossil - Biomate (10+15)   Borossil - ILE (15)","Glassco (15) - calgon - purchased on 30/08/22, Borossil (Biomate;10)-purchased on 08 feb 2023, Borossil ILE (15)- purchased on 2 May 23, Borossil (15) from biomate purchased on 28-01-2023","Total present - 41, Glassco -15, Borossil - 26, Borossil -  one is broken, 13 no. were returned to ILE on 20/12/23","TVM/23-24/0121 (ILE), CA/5189(Calgon), BMC2223-504(Biomate), BMC2223-531(Biomate)","02-05-2023(ILE), 30-08-2022(Calgon), 28-01-2023(Biomate), 08-02-2023(Biomate)"
,Conical flask,1000 ml,36,Technico,"Borossil - Biomate; Glassco - Calgon scientific, Borossil - ILE","Glassco (Glassco;15)- 30/08/22,  Borossil (Biomate) parchased on 23 Feb 23(5), March 08 2023(6) , Borossil (ILE,10) purchased on 2 May 23",Stock: 36,"TVM/23-24/0121 (ILE),CA/5189(Calgon), BMC2223-589(Biomate), BMC2223-615","02-05-2023(ILE), 30-08-2022(Calgon), 23-02-2023(Biomate), 08-03-2023(Biomate)"
,"Culture flask, RB",,,,,,,,
,"Culture flask, RB",10L,1,Technico,Technico,2024-12-07 00:00:00,Broken ,Broken,2024-12-07 00:00:00
,"Culture flask, RB",1 L,1+1,Technico,Technico Laboratory Glass Works,"22-09-2023, 23-11-2023","(one is broken), broken one is replaced with new 1L",TLGW793/23-24,2023-09-22 00:00:00
,"Culture flask, RB",2L,2,Technico,Technico Laboratory Glass Works,2023-11-23 00:00:00,Stock:2,TLGW1071/23-24,2023-11-23 00:00:00
,"Culture flask, RB",5L,3+1,3 (Technico) 1 (sabari),Technico Laboratory Glass Works,"22-09-2023(1), 23-11-2023 (2), (sabari -28-06-23)",Stock:4,"TLGW793/23-24, TLGW1071/23-24, BB-54(Sabari)","22-09-2023, 23-11-2023, 28-06-2023(Sabari)"
,"Culture flask, RB",10 L,1+1,Technico,Technico Laboratory Glass Works,23-11-2023 (One is broken) & 20 Jan 2024,Stock:1,"TLGW1071/23-24, TLGW1312/23-24","23-11-2023, 20-01-2024"
,"Culture flask, RB",10 L,2,Technico,Technico Laboratory Glass Works,15-02-25,One 10 L flask was broken when received and it was replaced by the supplier,TLGW1526/24-25,19-02-25
,"Culture flask,RB",5 L,2,Technico,Technico Laboratory Glass Works,2025-08-04 00:00:00,1 BROKEN,TLGW027/25-26,2025-08-04 00:00:00
,Desicator with pla. Knob 200mm,1,,,ILE,2023-05-05 00:00:00,Stock:1,TVM/23-24/0160,2023-05-05 00:00:00
,Fish tank,3,,,,,Stock: 3 (bill is missing),,
,Funnel,,,,,,,,
,Funnel 75 mm,5,,"borossil (4), Glassco (1)","ILE- Borossil, Glassco - Calgon","75mm borossil (1) purchesed from ILE on 08-05-2023,  75mm borossil (1) purchesed from ILE on 19-05-2023,  75mm borossil (2) purchesed from ILE on 31-10-2023,  75mm Glassco (1) purchesed from Calgon on 30/08/2022  ","Stock:4 (1 is broken - glassco, tip of one is broken - borossil)","TVM/23-24/0178(ILE), TVM/23-24/0258(ILE), TVM/23-24/1260(ILE), CA/5189(Calgon)","08-05-2023(ILE), 19-05-2023(ILE),31-10-2023(ILE), 30-08-2022(Calgon)"
,Funnel 100mm,2,,"Borossil (1), Glassco (1)","ILE- Borossil, Glassco - Calgon","100 mm borossil form ILE - 08-05-2023, 100 mm glassco from calgon - 30/08/22",Stock:2,"TVM/23-24/0178(ILE), CA/5189(Calgon)","08-05-2023(ILE), 30-08-2022(Calgon)"
,Glass cuvette pair,3.5 ml,10 mm,Lark,ILE,,,TVM/24-25/2066,17-01-25
,Measuring cylinder,,,,,,,,
,Measuring cylinder,50 ml,1,Borossil,Lab supplies trivandrum,"July 10,2024",Broken ,W000198,2024-10-07 00:00:00
,Measuring cylinder,50 ml,1,Borossil,Lab supplies trivandrum,Jan 12 2023,Stock:1,R0001449,2023-01-12 00:00:00
,Measuring cylinder,250 ml,1,Borossil,"Lab supplies trivandrum, Biomate","Jan 12 2023, 28-01-2023 (new)","Stock:1 (one is broken, bought new one)",R0001449,2023-01-12 00:00:00
,Measuring cylinder,500 ml,1,Borossil,Lab supplies trivandrum,Jan 12 2023,Stock:1,R0001449,2023-01-12 00:00:00
,Measuring cylinder,1000 ml,1,Borossil,Lab supplies trivandrum,Jan 12 2023,Stock:1,R0001449,2023-01-12 00:00:00
,Measuring cylinder,2000 ml,1,Borossil,ILE,May 08 2023,Stock:1,TVM/23-24/0178,2023-05-08 00:00:00
,Measuring cylinder,100 mL,1,Borossil,ILE,25-09-24,Stock 1,TVM/24-25/1169,25-09-24
,Measuring cylinder,250 mL,1,Borossil,ILE,25-09-25,Stock 2,TVM/24-25/1170,25-09-25
,Measuring cylinder,25 ml,1,Borosil,ILE,16-11-24,,TVM/24-25/1569,16-11-24
,Measuring cylinder,25 ml,1,Borosil,ILE,31-12-24,,TVM/24-25/1837,31-12-24
,Petridish,,,,,,,,
,"Petridish, 80x17 bottom&Top",,6,Glassco,Calgon Scientific,2022-08-30 00:00:00,"4 - top and bottom, 1 top are present",CA/5189,2022-08-30 00:00:00
,"Petriplate, 100x15 bottom&Top",,6,Glassco,Calgon Scientific,2022-08-30 00:00:00,Stock:6,CA/5189,2022-08-30 00:00:00
,Pipette with rubber cork,,,,,,Stock: 6,,
,Pipette with rubber cork,1 ml,2,Riviera,Calgon Scientific,2022-08-30 00:00:00,,CA/5189,2022-08-30 00:00:00
,Pipette with rubber cork,5 ml,2,Riviera,Calgon Scientific,2022-08-30 00:00:00,,CA/5189,2022-08-30 00:00:00
,Pipette with rubber cork,10 ml,2,Riviera,Calgon Scientific,2022-08-30 00:00:00,,CA/5189,2022-08-30 00:00:00
,Reagent bottle ,,,,,,,,
,Reagent bottle ,50 ml,31,"Glassco (6), Technico (25)","Glassco - Calgon Scientific, Technico"," Glassco - 30/08/22, technico (25/11/23)","Stock: 30 (Glassco - 5 present, one is missing (NIIST  sample test)",CA/5189(Calgon),2022-08-30 00:00:00
,Reagent bottle,100 ml,16,"Glassco (6), Borossil (5), Borossil (5)","Borossil - Biomate, Glassco -Calgon , borossil - ILE","Glassco - 30/08/22, Borossil (ILE ) purchased on 12 aug 23, Borossil (Biomate) purchased on 28-01-2023","Stock: total -15, one (borossil) is missing (NIIST sample test)","TVM/23-24/0781(ILE), CA/5189(Calgon), BMC2223-504(Biomate)","30-08-2022(Calgon), 12-08-2023(ILE), 28-01-2023(Biomate)"
,Reagent bottle,250 ml,11,"Glassco (6), Borossil (5), Borossil (1)","Glassco - Calgon Scientific, Borossil -Biomate","Glassco - 30/08/22, Borossil- 28-01-2023"," Stock: 11 (Glassco - 5 present, borossil-6 (5+1)1 bottle from omega 3 ","CA/5189(Calgon), BMC2223-504","30-08-2022 (Calgon), 28-01-2023(Biomate)"
,Reagent bottle,500 ml,16,"Glassco (6), Borossil (5), Borossil (5)","Borossil - Biomate , Borossil- ILE, Glassco -Calgon","Glassco-30/08/22,Borossil(Biomate;5) purchased on 28-01-2023 , Borosssil (ILE;5) - purchased on 12 Aug 23",Stock: 16,"TVM/23-24/0781(ILE), CA/5189(Calgon), BMC2223-504(Biomate)","12-08-2023(ILE), 30-08-2022(Calgon), 28-01-2023(Biomate)"
,Reagent bottle,1000 ml,30,"Glassco (5)Borossil (5), Borossil (15), Borossil (5)","Glassco- Calgon, Borossil - Biomate, Borossil - ILE, ","Glassco (5) - purchased on 30/08/22, Borossil (5)- purchased on 23 feb 2023 (Biomate), Borossil (ILE15)- purchased on 5 May 23, Borossil (5) purchased on 12 Aug 23(ILE)","Stock:30; Borossil -25, Glassco -5","TVM/23-24/0160 (ILE), TVM/23-24/0781(ILE), CA/5189(Calgon), BMC2223-589","05-05-2023 (ILE), 12-08-2023(ILE), 30-08-2022(Calgon), 23-02-2023(Biomate)"
,Reagent bottle with screw cap,1000 mL,4,Borossil,ILE,2024-06-08 00:00:00,,TVM/24-25/0843,2025-06-08 00:00:00
,Reagent bottle with screw cap,1 L,5,Borosil,ILE,16/11/24,,TVN/24-25/1569,16-11-24
,Reagent bottle with screw cap,250 ml,10,Technico,Technico Laboratory Glass Works,15-02-25,,TLGW1526/24-25,19-02-25
,Reagent bottle Amber,500 mL,3,Borossil,ILE,2024-06-08 00:00:00,,TVM/24-25/0843,2025-06-08 00:00:00
,Reagent bottle Amber,250 ml,3,Borosil,ILE,22/10/24,,TVM/24-25/1381,22-10-24
,Reagent bottle screwcap-amber,250 ml,30,Technico,Technico Laboratory Glass Works,15/02/25,,TLGW1526/24-25,19-02-25
,Reagent bottle with stopper,,,,,,,,
,Reagent bottle with stopper,1 L,1,Technico,Technico Laboratory Glass Works, Sept 15 2023,Stock:1,TLGW759/23-24,2023-09-15 00:00:00
,Reagent bottle with stopper,5L,1,Technico,Technico Laboratory Glass Works, Sept 15 2023,Stock:1,TLGW759/23-24,2023-09-15 00:00:00
,Separating funnel,,,,,,Stock: 4,,
,"Separating funnel, 250 ml",,2,Duran,Calgon Scientific,purchased on 30/08/22,,CA/5189,2022-08-30 00:00:00
,"Separating funnel, 500 ml",,2,Abdos,Calgon Scientific,purchased on 30/08/22,,CA/5189,2022-08-30 00:00:00
,Stirring rod,,,,,,Stock: 4,,
,"Stirring rod, 12'",3,,,Lab supplies trivandrum,Jan 12 2023,Broken 1,R0001449,2023-01-12 00:00:00
,"Stirring rod, 6' sl",1,,,Lab supplies trivandrum,Jan 12 2023,,R0001449,2023-01-12 00:00:00
,Test tube,,,,,,,,
,"Test tube, 15x125 mm",,12,Glassco,Calgon Scientific,2022-08-30 00:00:00,Stock:12,CA/5189,2022-08-30 00:00:00
,"Test tube, 15x150 mm",,12,Glassco,Calgon Scientific,2022-08-30 00:00:00,Stock:12,CA/5189,2022-08-30 00:00:00
,"Test tube, 18x150 mm",,12,Riviera,Calgon Scientific,2022-08-30 00:00:00,Stock:12,CA/5189,2022-08-30 00:00:00
,Volumemetric flask,,,,,,,,
,"Volumetric flask, 50 ml",1,,Glassco,Calgon scientific,"4/27/2023 , ","Stock:1,Cap broken",CA/6015,2023-04-27 00:00:00
,"Volumetric flask,100 ml",9 (1+8),,"Glassco-1, A100-2, Borossil - 6","Calgon scientific, Sabari scientific supplies","Calgon - 27-04-2023, Sabari - 04-05-23","Stock: 8, one was broken","CA/6015(Calgon), BB-14(Sabari)","27-04-2023(Calgon), 04-05-2023(Sabari)"
,"Volumetric flask, 50 ml",1,,Borosil,ILE,16-11-24,,TVM/24-25/1569,16-11-24
,"Volumetric flask, 50 ml",1,,Borosil,ILE,20-12-24,,,
,Wash bottle head B.G,1,,JAGL,Sabari scientific supplies,2023-09-12 00:00:00,Stock:1,BB-88,2023-09-12 00:00:00
